"LEGAL_NAME","ACCOUNT_TYPE_CODE","ACCOUNT_TYPE","PHYSICAL_ADDRESS_STATE","Physical_Address_ZIP_Code1"
"CENTRAL AMERICAN LIFE","6000","Insurance Company","LA","71291"
"GULFCO LIFE","6000","Insurance Company","LA","71351"
"LOUISIANA FARM BUREAU CAS INS","6000","Insurance Company","LA","70895"
"LOUISIANA FARM BUREAU MUTUAL","6000","Insurance Company","LA","70895"
"NATIONAL UNION FIRE INS OF PITT PA","6000","Insurance Company","LA","70816"
"PAN AMERICAN LIFE","6000","Insurance Company","LA","70130"
"RABENHORST LIFE INS COM","6000","Insurance Company","LA","70802"
"RHODES LIFE INS CO OF LA","6000","Insurance Company","LA","70805"
"E C BODYWORKS LLC","1520","Service/Rental/Etc","LA","70809"
"WILBERT LIFE INS","6000","Insurance Company","LA","70764"
"WINNFIELD LIFE","6000","Insurance Company","LA","71457"
"LOUISIANA PEST CONTROL INS CO","6000","Insurance Company","LA","70808"
"MAGNA INSURANCE CO","6000","Insurance Company","LA","70130"
"SOUTHERN CHEM INDUSTRIES  INC","9999","No Occupational License","LA","70069"
"BLUEBONNET LIFE INS CO","6000","Insurance Company","LA","70898"
"EMNITY CO","6000","Insurance Company","LA","70898"
"STARMOUNT LIFE INC CO","6000","Insurance Company","LA","70806"
"BOB FURLOW & ASSOC INC","1520","Service/Rental/Etc","LA","70821"
"RANDOLPH  WADE","1520","Service/Rental/Etc","LA","70808"
"DAVID POWELL","1520","Service/Rental/Etc","LA","70817"
"HUBERT E BAILEY","1520","Service/Rental/Etc","LA","70805"
"SANTIAGO VILAS","1822","Real Estate Broker","LA","70808"
"KATHLEEN PITRE","1520","Service/Rental/Etc","LA","70815"
"JOHN ALLPHIN JR&JOHNELL ALLPHI","1520","Service/Rental/Etc","LA","70809"
"EDMOND H LEBLANC","1520","Service/Rental/Etc","LA","70806"
"GERALD GARRISON","1520","Service/Rental/Etc","LA","70809"
"METRO SHEET METAL  INC","2710","Contractor","LA","70806"
"E KENT CALDWELL","1822","Real Estate Broker","LA","70808"
"JOHN GARRUTO","2710","Contractor","LA","70810"
"DESSELLE CREDIT INC","1710","Finance Lending","LA","70806"
"PAT S BROWN JR PRES","1520","Service/Rental/Etc","LA","70809"
"ROY CARTER","1822","Real Estate Broker","LA","70802"
"BARBARA EHRHARDT","1822","Real Estate Broker","LA","70815"
"KEN GUIDRY","1520","Service/Rental/Etc","LA","70802"
"ROY CAZES HEAT & AIR COND INC","1610","Wholesale Dealer","LA","70815"
"JOE RAVENCRAFT","1520","Service/Rental/Etc","LA","70805"
