Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
1/1/2016,Aegean,148172,1695586,43.18%,45.07%,21.37%,8.10%,732162,18485319,10.45,00:03:00,00:25:15,2.85
1/8/2016,Aegean,135397,1728534,40.30%,45.07%,21.37%,8.10%,696529,15461873,10.09,00:02:46,00:22:12,3.01
1/15/2016,Aegean,119998,1796295,38.63%,44.94%,22.85%,8.66%,693917,13932582,9.38,00:02:38,00:20:05,3.08
1/22/2016,Aegean,103739,1820641,35.97%,44.86%,23.71%,8.99%,654919,14071301,10.07,00:02:33,00:21:29,3.18
1/29/2016,Aegean,127381,1806560,37.19%,44.86%,23.71%,8.99%,671860,11946064,8.01,00:02:38,00:17:47,2.97
2/5/2016,Aegean,109769,1833076,33.75%,44.86%,23.71%,8.99%,618729,13522885,8.51,00:03:00,00:21:51,2.68
2/12/2016,Aegean,146440,1840086,35.34%,46.29%,24.39%,9.15%,650280,14147651,9.02,00:02:55,00:21:45,2.97
2/19/2016,Aegean,112603,1842464,33.86%,48.50%,25.45%,9.40%,623873,11187771,7.92,00:02:34,00:17:56,3.05
2/26/2016,Aegean,73222,1813272,29.23%,48.50%,25.45%,9.40%,530070,8891216,8.27,00:02:22,00:16:46,3
3/4/2016,Aegean,50007,1772835,28.41%,48.50%,25.45%,9.40%,503698,7180533,6.93,00:02:18,00:14:15,2.82
3/11/2016,Aegean,42063,1633260,25.91%,48.50%,25.45%,9.40%,423146,6202025,6.79,00:02:16,00:14:39,2.64
3/18/2016,Aegean,47747,1612919,25.63%,45.85%,27.49%,10.63%,413420,9555084,8.84,00:02:49,00:23:07,2.97
3/25/2016,Aegean,58215,1440579,30.36%,45.85%,27.49%,10.63%,437406,7134096,8.74,00:01:58,00:16:19,2.78
